svmsource,svmtarget,adasource,adatarget
0.74777,0.74777,0.57,0.57
0.863,0.93625,0.8888,0.7608
0.8405,0.93925,0.8836,0.83125
0.8415,0.94025,0.9028,0.84575
0.8303,0.93925,0.8895,0.8275
0.8362,0.9365,0.898,0.81125
0.8327,0.93625,0.911,0.8605
0.8272,0.939,0.9036,0.81775
0.8346,0.9415,0.92179,0.82175
0.7506,0.85525,0.9075,0.838
0.7595,0.854,0.9103,0.865
0.7543,0.858,0.9126,0.83475
0.8462,0.96725,0.898,0.8535
0.7509,0.85825,0.8975,0.84525
0.8417,0.96025,0.915,0.786
0.842,0.9401,0.871,0.84475
