svmsource,svmtarget,adasource,adatarget
0.74777,0.74777,0.57,0.57
0.8918,0.75375,0.95,0.965
0.8609,0.7565,0.9557,0.969111
0.8569,0.757,0.9583,0.982444
0.8112,0.8025,0.9639,0.97466
0.7848,0.797,0.9621,0.9867
0.7932,0.80775,0.955,0.9782
0.809,0.78875,0.9487,0.9633
0.7785,0.801,0.9443,0.97
0.8021,0.79325,0.9501,0.969111
0.7779,0.81475,0.9557,0.980444
0.8096,0.80725,0.9522,0.981111
0.7787,0.8165,0.9579,0.9868888
0.7949,0.82025,0.9583,0.98667
0.78,0.81375,0.955,0.988
0.7824,0.83425,0.9574,0.976
