svmsource,svmtarget,adasource,adatarget
0.74777,0.74777,0.57,0.57
0.9143,0.963666667,0.8907,0.81875
0.9075,0.970666667,0.885,0.8086
0.9089,0.974,0.9082,0.7875
0.9059,0.969333333,0.8841,0.8181
0.9123,0.975,0.8833,0.8461
0.908,0.965333333,0.8776,0.8263
0.9108,0.877333333,0.8817,0.8127
0.9093,0.982333333,0.8938,0.81875
0.8193,0.883,0.8967,0.8413
0.8109,0.974333333,0.89,0.8331
0.8207,0.889333333,0.9066,0.786285
0.8109,0.975666667,0.9001,0.81042
0.8166,0.807,0.8813,0.80607
0.8109,0.978666667,0.8826,0.77604
0.8158,0.805666667,0.8798,0.83
